property_id,address,orientation
NSW2914221,6 THE SCARP,N
NSW2914221,6 THE SCARP,SE
NSW2914221,6 THE SCARP,N
NSW2914221,6 THE SCARP,S
NSW2914221,6 THE SCARP,S
NSW2914221,6 THE SCARP,SE
NSW2914221,6 THE SCARP,NW
NSW2914221,6 THE SCARP,S
NSW2914221,6 THE SCARP,E
NSW2914152,7 THE REDOUBT,NW
NSW2914152,7 THE REDOUBT,N
NSW2914152,7 THE REDOUBT,SE
NSW2914152,7 THE REDOUBT,E
NSW2914152,7 THE REDOUBT,N
NSW2914152,7 THE REDOUBT,E
NSW2914152,7 THE REDOUBT,NE
NSW2914152,7 THE REDOUBT,W
NSW2924331,76 SUGARLOAF CRESCENT,SE
NSW2924331,76 SUGARLOAF CRESCENT,SE
NSW2924331,76 SUGARLOAF CRESCENT,N
NSW2924331,76 SUGARLOAF CRESCENT,SW
NSW2924331,76 SUGARLOAF CRESCENT,N
NSW2924331,76 SUGARLOAF CRESCENT,E
NSW2924331,76 SUGARLOAF CRESCENT,N
NSW2924331,76 SUGARLOAF CRESCENT,W
NSW2924331,76 SUGARLOAF CRESCENT,S
NSW2924331,76 SUGARLOAF CRESCENT,SW
NSW2924331,76 SUGARLOAF CRESCENT,W
NSW2924331,76 SUGARLOAF CRESCENT,W
NSW2924331,76 SUGARLOAF CRESCENT,S
NSW2924331,76 SUGARLOAF CRESCENT,NW
NSW2924331,76 SUGARLOAF CRESCENT,NW
NSW2924331,76 SUGARLOAF CRESCENT,N
NSW2924331,76 SUGARLOAF CRESCENT,NW
NSW2924331,76 SUGARLOAF CRESCENT,N
NSW2924331,76 SUGARLOAF CRESCENT,SE
NSW2924331,76 SUGARLOAF CRESCENT,SW
NSW2924331,76 SUGARLOAF CRESCENT,E
NSW2924331,76 SUGARLOAF CRESCENT,NW
NSW2924331,76 SUGARLOAF CRESCENT,NE
NSW2924331,76 SUGARLOAF CRESCENT,W
NSW2924331,76 SUGARLOAF CRESCENT,W
NSW2924331,76 SUGARLOAF CRESCENT,NW
NSW2924331,76 SUGARLOAF CRESCENT,SW
NSW2924331,76 SUGARLOAF CRESCENT,N
NSW2924331,76 SUGARLOAF CRESCENT,N
NSW2924331,76 SUGARLOAF CRESCENT,NE
NSW2924331,76 SUGARLOAF CRESCENT,S
NSW2924331,76 SUGARLOAF CRESCENT,SW
NSW2924331,76 SUGARLOAF CRESCENT,S
NSW2924331,76 SUGARLOAF CRESCENT,E
NSW2924331,76 SUGARLOAF CRESCENT,W
NSW2924331,76 SUGARLOAF CRESCENT,NE
NSW2924331,76 SUGARLOAF CRESCENT,W
NSW2924331,76 SUGARLOAF CRESCENT,SW
NSW2924331,76 SUGARLOAF CRESCENT,SE
NSW2924331,76 SUGARLOAF CRESCENT,NW
NSW2924331,76 SUGARLOAF CRESCENT,E
NSW2924331,76 SUGARLOAF CRESCENT,NE
NSW2924331,76 SUGARLOAF CRESCENT,SW
NSW2924331,76 SUGARLOAF CRESCENT,SW
NSW2924331,76 SUGARLOAF CRESCENT,NW
NSW2924331,76 SUGARLOAF CRESCENT,S
NSW2924331,76 SUGARLOAF CRESCENT,NW
NSW2924331,76 SUGARLOAF CRESCENT,NE
NSW2924331,76 SUGARLOAF CRESCENT,SW
NSW2924331,76 SUGARLOAF CRESCENT,SW
NSW2924331,76 SUGARLOAF CRESCENT,SW
NSW2924331,76 SUGARLOAF CRESCENT,SW
NSW2924331,76 SUGARLOAF CRESCENT,SE
NSW2924331,76 SUGARLOAF CRESCENT,NW
NSW2924331,76 SUGARLOAF CRESCENT,W
NSW2924331,76 SUGARLOAF CRESCENT,SW
NSW2924331,76 SUGARLOAF CRESCENT,S
NSW2924331,76 SUGARLOAF CRESCENT,NW
NSW2924331,76 SUGARLOAF CRESCENT,NW
NSW2924331,76 SUGARLOAF CRESCENT,NW
NSW2924331,76 SUGARLOAF CRESCENT,N
NSW2924331,76 SUGARLOAF CRESCENT,E
NSW2924331,76 SUGARLOAF CRESCENT,E
NSW2924331,76 SUGARLOAF CRESCENT,N
NSW2924331,76 SUGARLOAF CRESCENT,SE
NSW2924331,76 SUGARLOAF CRESCENT,SE
NSW2924331,76 SUGARLOAF CRESCENT,E
NSW2924331,76 SUGARLOAF CRESCENT,NW
NSW2924331,76 SUGARLOAF CRESCENT,E
NSW2924331,76 SUGARLOAF CRESCENT,SW
NSW2924331,76 SUGARLOAF CRESCENT,E
NSW2924331,76 SUGARLOAF CRESCENT,E
NSW2924331,76 SUGARLOAF CRESCENT,N
NSW2924331,76 SUGARLOAF CRESCENT,N
NSW2924331,76 SUGARLOAF CRESCENT,NW
NSW2924331,76 SUGARLOAF CRESCENT,N
NSW2924331,76 SUGARLOAF CRESCENT,NW
NSW2924331,76 SUGARLOAF CRESCENT,SW
NSW2924331,76 SUGARLOAF CRESCENT,S
NSW2924331,76 SUGARLOAF CRESCENT,S
NSW2924331,76 SUGARLOAF CRESCENT,E
NSW2924331,76 SUGARLOAF CRESCENT,W
NSW2924331,76 SUGARLOAF CRESCENT,W
NSW2924331,76 SUGARLOAF CRESCENT,SE
NSW2924331,76 SUGARLOAF CRESCENT,E
NSW2924331,76 SUGARLOAF CRESCENT,SW
NSW2924331,76 SUGARLOAF CRESCENT,NW
NSW2924331,76 SUGARLOAF CRESCENT,SW
NSW2924331,76 SUGARLOAF CRESCENT,SW
NSW2924331,76 SUGARLOAF CRESCENT,N
NSW2924331,76 SUGARLOAF CRESCENT,SW
NSW2924331,76 SUGARLOAF CRESCENT,SW
NSW2824909,8 CAWARRAH ROAD,SE
NSW2912410,8 SORTIE PORT,SE
NSW2912410,8 SORTIE PORT,SW
NSW2912410,8 SORTIE PORT,E
NSW2912410,8 SORTIE PORT,S
NSW2912410,8 SORTIE PORT,W
NSW2912410,8 SORTIE PORT,E
NSW2912410,8 SORTIE PORT,E
NSW2912410,8 SORTIE PORT,W
NSW2887526,8A ROCKLEY STREET,SW
NSW2887526,8A ROCKLEY STREET,SW
NSW2887526,8A ROCKLEY STREET,SW
NSW2887526,8A ROCKLEY STREET,SW
NSW2887526,8A ROCKLEY STREET,N
NSW2887526,8A ROCKLEY STREET,SW
NSW2887526,8A ROCKLEY STREET,N
NSW2887526,8A ROCKLEY STREET,W
NSW2887526,8A ROCKLEY STREET,NE
NSW2887526,8A ROCKLEY STREET,E
NSW2887526,8A ROCKLEY STREET,S
NSW2887526,8A ROCKLEY STREET,S
NSW2887526,8A ROCKLEY STREET,W
NSW2887526,8A ROCKLEY STREET,SW
NSW2887526,8A ROCKLEY STREET,SW
NSW2941211,9 EDITH STREET,S
NSW2941211,9 EDITH STREET,S
NSW2941211,9 EDITH STREET,S
NSW2941211,9 EDITH STREET,NW
NSW2941211,9 EDITH STREET,S
NSW2941211,9 EDITH STREET,S
NSW2941211,9 EDITH STREET,S
NSW2941211,9 EDITH STREET,S
NSW2941211,9 EDITH STREET,S
NSW2941211,9 EDITH STREET,S
